VARIABLES =        it  Vd(1)  Vd(2)  Vd(3)  Vd(4)    fob  AF_ot fob_ot
                 248    59      55    56    61    7.76400       227    6.60119    
                 249    56      61    55    61    8.85061       227    6.60119    
                 250    61      56    60    61    5.74845       227    6.60119    
                 251    56      53    60    58    9.54811       227    6.60119    
                 252    59      57    54    61    9.66072       227    6.60119    
                 253    58      60    56    59    8.12793       227    6.60119    
                 254    58      53    58    61    10.0212       227    6.60119    
                 255    56      57    56    61    8.03547       227    6.60119    
                 256    57      57    56    61    9.01418       227    6.60119    
                 257    61      60    56    61    5.87858       227    6.60119    
                 258    58      59    56    61    7.71689       227    6.60119    
                 259    56      53    60    60    8.72027       227    6.60119    
                 260    60      61    60    61    7.26181       227    6.60119    
                 261    61      59    59    61    6.44378       227    6.60119    
                 262    55      56    60    61    7.20521       227    6.60119    
                 263    59      59    58    61    7.97792       227    6.60119    
                 264    59      56    56    36    13.3541       227    6.60119    
                 265    57      56    58    61    8.77883       227    6.60119    
                 266    56      56    56    59    7.94731       227    6.60119    
                 267    56      56    56    58    8.35536       227    6.60119    
                 268    19      56    53    60    28.2595       227    6.60119    
                 269    59      57    60    61    7.63699       227    6.60119    
                 270    56      60    60    61    6.24239       227    6.60119    
                 271    61      59    56    61    6.32474       227    6.60119    
                 272    56      60    61    60    8.02047       227    6.60119    
                 273    61      59    60    61    5.83581       227    6.60119    
                 274    56      27    13    61    55.3846       227    6.60119    
                 275    56      56     2    61    82.4231       227    6.60119    
                 276    59      60    60    61    6.33283       227    6.60119    
                 277    56      54    60    61    7.72751       227    6.60119    
                 278    61      59    60    60    6.27322       227    6.60119    
                 279    61      59    58    61    7.03474       227    6.60119    
                 280    58      59    59    61    7.83594       227    6.60119    
                 281    59      59    60    58    8.04423       227    6.60119    
                 282    61      60    60    61    5.38965       227    6.60119    
                 283    61      57    56    61    7.18274       250    5.74845    
                 284    61      60    60    60    5.82706       250    5.74845    
                 285    60      60    60    61    5.87093       250    5.74845    
                 286    49      59    60    61    8.52645       250    5.74845    
                 287    56      60    57    61    8.01953       250    5.74845    
                 288    61      61    57    61    8.51396       250    5.74845    
                 289    56      54    56    59    9.07363       250    5.74845    
                 290    61      58    60    61    6.26949       250    5.74845    
                 291    61      60    61    60    7.18509       250    5.74845    
                 292    56      60    60    60    6.67979       250    5.74845    
                 293    61      60    60    59    6.24685       250    5.74845    
                 294    56      60    60    44    9.27487       250    5.74845    
                 295    61      60    59    61    5.99762       250    5.74845    
                 296    56      56    60    59    7.45838       250    5.74845    
                 297    61      47    56    61    9.32306       250    5.74845    
                 298    61      59    60    59    6.69301       250    5.74845    
                 299    57      56    60    61    7.57990       250    5.74845    
                 300     9      61    60    57    40.4500       250    5.74845    
                 301    58      60    21    60    24.7951       250    5.74845    
                 302    60      60    60     4    48.3873       250    5.74845    
                 303    60      56    59    61    6.83770       250    5.74845    
                 304    61      60    60    21    17.9628       250    5.74845    
                 305    61      53    18    61    35.6348       250    5.74845    
                 306    56      57    60    59    8.40374       250    5.74845    
                 307    56      58    60    61    7.12223       250    5.74845    
                 308    56      60    14    58    37.0728       250    5.74845    
                 309    59      56    61    61    8.03045       250    5.74845    
                 310    61      61    57    59    9.37109       250    5.74845    
                 311    58      60    61    31    15.1658       250    5.74845    
                 312    61      56    60    60    6.18586       250    5.74845    
                 313    53      59    60    60    8.86696       250    5.74845    
                 314    61      60    57    61    7.16679       250    5.74845    
                 315    61      57    60    59    7.55101       250    5.74845    
                 316    61      60    61    58    8.01293       250    5.74845    
                 317    59      53    60    58    9.63855       250    5.74845    
                 318    61      24    60    47    17.8476       250    5.74845    
                 319    59      60    59    61    6.94080       250    5.74845    
                 320    60      56    60    61    6.22973       250    5.74845    
                 321    61      56    60    59    6.60565       250    5.74845    
                 322    25      59    60    61    13.9530       250    5.74845    
                 323    58      59    61    59    9.41486       250    5.74845    
                 324    61      60    60     2    58.1806       250    5.74845    
                 325    56      47    60    61    9.68687       250    5.74845    
                 326    61      54    56    61    7.36370       250    5.74845    
                 327    61      59    61    61    7.19381       250    5.74845    
                 328    61      56    56    61    6.23738       250    5.74845    
                 329    58      60    60    61    6.78181       250    5.74845    
                 330    60      57    57    61    8.95223       250    5.74845    
